ensembl_gene_id,significant
ENSG00000237973,
ENSG00000186891,
ENSG00000184163,
ENSG00000224051,
ENSG00000076864,
ENSG00000173369,
ENSG00000271420,F
ENSG00000179163,
ENSG00000188822,F
ENSG00000158055,F
ENSG00000117640,
ENSG00000117676,
ENSG00000121753,F
ENSG00000162522,
ENSG00000189433,F
ENSG00000116922,F
ENSG00000127129,F
ENSG00000186973,F
ENSG00000253313,
ENSG00000234093,F
ENSG00000126107,
ENSG00000186377,F
ENSG00000162374,F
ENSG00000157184,
ENSG00000280378,F
ENSG00000223949,F
ENSG00000237076,F
ENSG00000137975,F
ENSG00000226715,F
ENSG00000168765,
