Geneid	D1KO	D1WT	D2KO	D2WT	D3KO	D3WT	D4KO	D4WT	D5KO	D5WT	D6KO	D6WT
1	319	287	293	251	299	389	129	114	412	448	248	262
100	1162	1057	951	1274	583	827	970	1439	698	1046	937	1110
1000	34	45	130	94	28	17	104	107	27	39	62	98
10000	1120	1274	1278	1144	612	1272	1240	905	1432	1557	1182	912
100009676	119	103	77	99	62	96	88	101	73	104	119	111
10001	723	641	750	844	477	778	661	656	620	697	654	663
10003	67	104	103	63	52	64	89	77	91	120	130	76
100033416	6	4	11	8	8	12	7	8	18	8	13	5
100034743	46	57	67	57	27	44	58	57	58	79	55	60
100037417	233	487	456	559	195	416	465	548	317	367	250	136
10004	1160	861	869	853	823	925	715	801	1179	1010	840	952
100048912	67	72	54	47	51	79	31	36	70	75	84	110
100049076	27	37	32	25	33	37	27	26	48	42	50	35
100049587	4	4	2	3	23	21	14	10	0	4	4	16
100049716	226	264	205	233	110	311	194	257	217	294	210	228
10005	446	498	487	514	354	430	380	513	418	473	408	429
10006	2260	2250	2126	2319	1197	2229	1727	1619	1980	2424	2155	2155
10007	1640	1181	662	477	1041	1414	766	693	1123	1324	922	1584
10009	2500	2717	1696	1982	1269	2243	1699	1756	2060	2216	2243	2291
100093630	243	232	206	217	160	199	257	270	158	235	203	258
100093631	2517	2876	2375	1966	1985	2769	2172	1746	2418	2738	2659	2642
10010	4102	3375	3007	2945	2590	3387	3533	2929	3489	3452	3665	3741
100101148	210	220	218	146	158	218	194	133	215	242	234	247
100101266	208	217	257	190	48	326	316	174	252	267	282	111
100101267	5839	9786	9215	9887	5690	8649	9851	10735	7220	8264	9857	6772
100101440	28	28	28	26	42	28	32	38	28	28	29	27
100101467	693	1095	1256	1116	653	1183	927	737	798	1052	1093	962
100101478	48	43	53	48	44	36	40	39	57	42	47	34
100101490	451	309	331	370	317	300	280	352	283	347	252	368
10011	1345	1217	1151	1550	1284	1074	1176	1320	1119	1205	1049	1336
100113381	29	7	10	21	4	19	21	22	17	20	10	16
100113386	76	40	128	60	32	47	87	24	66	95	74	34
100113407	82	36	47	46	68	129	136	177	149	162	108	165
100124516	25	22	13	26	13	26	21	22	14	36	19	16
100125288	91	45	35	38	73	34	31	27	54	35	40	61
100125556	15	7	5	10	10	8	9	12	16	8	7	19
100126488	25	30	51	34	14	45	47	30	58	30	57	22
100126791	8	18	10	6	2	4	14	4	10	15	6	8
100126793	125	98	90	114	66	68	126	91	84	105	177	161
100127888	4	4	20	12	2	1	10	19	4	13	2	3
100127983	34	25	17	46	40	22	14	19	44	54	12	20
100128071	81	112	112	90	59	110	141	90	134	156	96	85
100128076	11	19	6	5	2	8	2	4	11	17	8	7
100128098	8	10	4	6	3	5	4	2	13	18	1	0
100128108	118	162	155	136	99	174	110	112	148	185	119	162
100128164	42	98	97	125	44	101	92	124	15	40	44	38
100128191	406	301	241	350	444	482	177	326	369	503	209	478
100128252	22	30	77	35	4	12	0	4	68	87	28	10
100128285	10	19	11	13	17	14	8	8	12	18	5	8
100128288	116	147	150	149	108	163	128	101	121	139	172	172
100128361	124	134	172	272	165	131	82	260	117	170	136	152
100128398	146	125	152	100	108	196	88	95	169	128	153	181
100128420	2082	1234	1448	1667	643	621	1005	1714	1397	1636	1072	1601
100128494	48	77	82	66	43	60	74	47	73	71	99	77
100128531	17	20	19	3	9	23	3	4	25	17	7	15
100128553	93	93	119	104	45	58	103	62	115	111	126	103
100128568	9	11	14	10	1	20	9	13	11	15	12	14
100128569	335	422	527	534	238	404	444	498	427	445	556	336
100128653	37	61	89	88	33	79	55	35	64	61	106	64
100128731	1219	1258	1026	1159	1028	1257	975	987	1136	1237	1167	1173
100128770	338	833	820	709	236	863	969	952	504	764	995	580
100128782	364	364	245	319	269	456	163	190	299	396	431	358
100128822	306	298	204	219	183	404	279	311	238	223	319	339
100128881	22	17	11	34	27	17	35	42	21	28	20	16
100128890	18	21	31	49	14	15	11	22	41	35	9	15
100128927	354	257	226	203	245	210	218	194	305	282	256	303
100129034	7912	4718	5453	4300	7375	5266	2503	1772	6364	5932	4443	5167
100129066	773	262	290	296	682	323	384	266	681	347	348	458
100129075	13	14	14	10	12	5	21	15	15	4	10	10
100129083	132	150	69	78	164	258	128	167	122	141	199	194
100129094	13	27	15	15	11	23	25	18	33	26	19	25
100129138	88	79	73	75	46	79	113	89	99	79	71	61
100129195	161	156	170	184	119	148	119	130	151	169	155	137
100129196	132	210	179	179	85	212	236	231	173	225	172	129
100129203	71	60	37	35	35	40	27	32	61	45	37	57
100129215	81	55	53	27	75	55	27	22	96	82	70	78
100129250	155	170	139	185	113	185	126	152	157	198	157	209
100129269	247	96	207	169	234	85	96	75	218	123	164	167
100129278	24	38	35	48	18	26	36	18	20	36	32	24
100129316	227	298	291	280	65	263	328	210	334	374	271	130
100129354	21	20	15	6	25	17	36	27	30	11	21	27
100129361	301	275	262	258	323	386	310	331	274	239	328	324
100129387	304	353	575	538	170	290	593	328	431	494	385	277
100129396	31	36	51	62	4	10	31	17	36	43	20	7
100129405	448	309	333	380	299	325	296	326	409	386	327	420
100129424	735	793	708	750	653	766	829	760	799	784	770	774
100129460	24	27	45	35	16	16	25	42	22	19	22	24
100129461	21	4	8	7	11	13	2	3	14	6	6	21
100129482	1758	1832	2540	2352	917	1815	2262	1703	1912	2080	2498	1878
100129503	94	125	124	66	70	84	76	63	146	149	129	110
100129518	16	14	8	15	12	14	11	13	16	16	2	17
100129528	12	36	42	17	2	4	151	99	28	53	8	4
100129534	272	327	277	263	215	315	214	235	248	325	295	289
100129543	20	23	33	54	15	42	15	38	20	22	24	27
100129550	137	195	242	156	56	146	191	121	234	210	216	143
100129597	30	16	15	6	18	20	5	4	30	13	17	29
100129617	16	15	24	23	8	15	24	26	16	13	31	7
100129716	89	82	31	47	47	81	50	38	43	59	69	118
100129726	106	93	100	65	47	115	80	60	113	88	127	77
100129792	69	60	57	76	50	59	49	34	79	64	94	101
100129842	1205	1328	1186	1408	705	1258	1096	1072	936	1129	1401	1219
100129845	8	30	35	52	13	39	46	75	16	31	18	14
100129917	113	143	175	185	89	143	168	126	107	138	150	67
100129931	20	5	11	6	14	10	13	10	17	8	23	13
100129961	42	53	47	43	28	46	35	24	41	58	88	54
100129973	24	58	51	36	6	38	51	59	38	40	37	44
10013	1759	1639	1498	1665	1532	1813	1448	1484	1713	1815	1379	1802
100130075	104	54	54	42	59	87	90	93	50	60	88	58
100130086	39	47	47	46	23	36	53	21	47	53	62	32
100130093	32	32	11	15	32	41	14	21	54	55	30	30
100130097	2	7	19	4	6	9	15	2	6	14	11	5
100130100	75	57	65	76	44	61	42	62	40	72	47	59
100130197	8	8	16	13	5	6	6	13	4	4	13	11
100130231	1349	818	185	155	931	1297	277	160	761	631	1245	1462
100130275	24	20	14	5	10	23	4	3	8	5	7	3
100130298	6	4	10	7	10	5	20	17	2	2	1	6
100130311	87	114	137	138	39	59	107	79	120	145	101	77
100130331	2456	1892	2588	2763	1944	1940	1904	2336	2424	2686	2136	2029
100130348	10	11	8	12	2	6	13	10	14	8	10	16
100130357	100	80	93	135	89	142	119	137	81	81	35	40
100130418	33	73	48	42	56	70	17	8	36	44	0	3
100130460	0	15	15	22	1	9	12	12	5	0	5	1
100130476	177	282	337	200	74	240	338	182	205	180	282	128
100130519	11	7	7	15	2	13	11	14	19	23	10	8
100130539	10	9	0	0	11	22	0	0	29	23	4	4
100130557	44	55	70	85	47	80	62	49	49	63	72	73
100130581	119	175	202	219	161	232	163	150	202	239	182	183
100130691	47	56	104	104	36	73	91	123	56	95	98	78
100130705	39	21	13	14	14	20	15	5	41	35	20	36
100130733	14	23	51	36	6	16	36	29	30	16	25	25
