,x,
1,ENSG00000165626,relevant
2,ENSG00000100281,irrelevant
3,ENSG00000145817,relevant
4,ENSG00000120341,relevant
5,ENSG00000113758,dubious
6,ENSG00000100601,irrelevant
7,ENSG00000177853,irrelevant
8,ENSG00000161642,dubious
9,ENSG00000116667,irrelevant
10,ENSG00000164620,dubious
11,ENSG00000165119,dubious
12,ENSG00000268043,irrelevant
13,ENSG00000084623,dubious
14,ENSG00000155657,irrelevant
15,ENSG00000129048,relevant
16,ENSG00000145743,dubious
17,ENSG00000089248,dubious
18,ENSG00000162972,dubious
19,ENSG00000095321,relevant
20,ENSG00000115884,dubious
21,ENSG00000165471,irrelevant
22,ENSG00000169288,irrelevant
23,ENSG00000081479,dubious
24,ENSG00000104472,irrelevant
25,ENSG00000070269,dubious
26,ENSG00000198189,irrelevant
27,ENSG00000179010,dubious
28,ENSG00000131051,relevant
29,ENSG00000067798,irrelevant
30,ENSG00000120451,dubious
31,ENSG00000170266,relevant
32,ENSG00000006607,irrelevant
33,ENSG00000112210,irrelevant
